Neigh,CSA,Pop2010,Zip,MHINC,TotalCOVIDCases
Medfield,Medfield/Hampden/Woodberry/Remington,17388.0,21210,68526.0,394.0
Remington,Medfield/Hampden/Woodberry/Remington,17388.0,21210,68526.0,394.0
Woodberry,Medfield/Hampden/Woodberry/Remington,17388.0,21210,68526.0,394.0
Wyman Park,Medfield/Hampden/Woodberry/Remington,17388.0,21210,68526.0,394.0
Sabina-Mattfeldt,N. Baltimore/Guilford/Homeland,5168.0,21210,84848.1,394.0
Abell,Greater Charles Village/Barclay,16391.0,21211,42852.5,888.0
Barclay,Greater Charles Village/Barclay,16391.0,21211,42852.5,888.0
Charles Village,Greater Charles Village/Barclay,16391.0,21211,42852.5,888.0
Harwood,Greater Charles Village/Barclay,16391.0,21211,42852.5,888.0
Johns Hopkins Homewood,Greater Charles Village/Barclay,16391.0,21211,42852.5,888.0
Oakenshawe,Greater Charles Village/Barclay,16391.0,21211,42852.5,888.0
Old Goucher,Greater Charles Village/Barclay,16391.0,21211,42852.5,888.0
Hampden,Medfield/Hampden/Woodberry/Remington,17388.0,21211,68526.0,888.0
Hoes Heights,Medfield/Hampden/Woodberry/Remington,17388.0,21211,68526.0,888.0
Jones Falls Area,Medfield/Hampden/Woodberry/Remington,17388.0,21211,68526.0,888.0
Medfield,Medfield/Hampden/Woodberry/Remington,17388.0,21211,68526.0,888.0
Remington,Medfield/Hampden/Woodberry/Remington,17388.0,21211,68526.0,888.0
Woodberry,Medfield/Hampden/Woodberry/Remington,17388.0,21211,68526.0,888.0
Wyman Park,Medfield/Hampden/Woodberry/Remington,17388.0,21211,68526.0,888.0
Greenspring,Southern Park Heights,13284.0,21211,24824.1,888.0
Lucille Park,Southern Park Heights,13284.0,21211,24824.1,888.0
Park Circle,Southern Park Heights,13284.0,21211,24824.1,888.0
Parklane,Southern Park Heights,13284.0,21211,24824.1,888.0
Towanda-Grantley,Southern Park Heights,13284.0,21211,24824.1,888.0
Belvedere,Chinquapin Park/Belvedere,7756.0,21212,55713.7,1988.0
Cameron Village,Chinquapin Park/Belvedere,7756.0,21212,55713.7,1988.0
Chinquapin Park,Chinquapin Park/Belvedere,7756.0,21212,55713.7,1988.0
Evesham Park,Chinquapin Park/Belvedere,7756.0,21212,55713.7,1988.0
Lake Walker,Chinquapin Park/Belvedere,7756.0,21212,55713.7,1988.0
Mid-Govans,Chinquapin Park/Belvedere,7756.0,21212,55713.7,1988.0
Kenilworth Park,Greater Govans,10681.0,21212,42666.8,1988.0
Pen Lucy,Greater Govans,10681.0,21212,42666.8,1988.0
Richnor Springs,Greater Govans,10681.0,21212,42666.8,1988.0
Wilson Park,Greater Govans,10681.0,21212,42666.8,1988.0
Winston-Govans,Greater Govans,10681.0,21212,42666.8,1988.0
Woodbourne-McCabe,Greater Govans,10681.0,21212,42666.8,1988.0
Wrenlane,Greater Govans,10681.0,21212,42666.8,1988.0
Sabina-Mattfeldt,N. Baltimore/Guilford/Homeland,5168.0,21212,84848.1,1988.0
Belair-Edison,Belair-Edison,17416.0,21213,42633.6,2751.0
Clifton Park,Belair-Edison,17416.0,21213,42633.6,2751.0
Four By Four,Belair-Edison,17416.0,21213,42633.6,2751.0
Herring Run Park,Belair-Edison,17416.0,21213,42633.6,2751.0
Mayfield,Belair-Edison,17416.0,21213,42633.6,2751.0
Armistead Gardens,Claremont/Armistead,8231.0,21213,34885.4,2751.0
Orchard Ridge,Claremont/Armistead,8231.0,21213,34885.4,2751.0
Berea,Clifton-Berea,9874.0,21213,31291.1,2751.0
Biddle Street,Clifton-Berea,9874.0,21213,31291.1,2751.0
